date,source,station_id,tmp_avg_c,tmp_max_c,tmp_min_c,rh_avg_pct,sol_rad_avg_wm2,wind_spd_avg_ms,wind_max_ms,wind_run_km,precip_mm,eto_mm,tmp_avg_7d,tmp_avg_14d,tmp_max_7d,wind_spd_7d,wind_spd_14d,wind_run_7d,sol_rad_7d,sol_rad_14d,precip_7d,precip_14d,eto_7d,rh_avg_7d,calm_days_7d
2024-07-28,Open-Meteo (Clear Lake coords),OM-CL,24.3,31.6,16.8,54.0,335.07,1.917,4.611,165.63,0.0,6.35,27.8429,27.0214,36.1857,1.9683,2.1786,1190.42,335.7614,341.3843,0.0,0.0,48.34,47.1429,5
2024-07-29,Open-Meteo (Clear Lake coords),OM-CL,23.5,32.2,16.1,59.0,335.07,2.25,4.972,194.4,0.0,6.4,26.9,26.7286,35.0714,2.0596,2.2004,1245.63,335.3157,340.715,0.0,0.0,47.64,48.4286,4
2024-07-30,Open-Meteo (Clear Lake coords),OM-CL,24.1,32.7,16.4,62.0,326.5,2.333,4.417,201.57,0.0,6.31,25.7,26.6929,34.0286,2.123,2.2143,1283.99,335.4314,338.615,0.0,0.0,46.62,52.2857,3
2024-07-31,Open-Meteo (Clear Lake coords),OM-CL,27.7,36.3,19.7,56.0,329.28,1.722,4.028,148.78,0.0,6.64,25.3143,26.9786,33.7714,2.0873,2.1786,1262.39,335.3814,337.3829,0.0,0.0,46.12,54.4286,3
2024-08-01,Open-Meteo (Clear Lake coords),OM-CL,28.3,35.9,21.2,47.0,335.07,1.639,2.889,141.61,0.0,6.68,25.3571,27.0929,33.7,1.9603,2.127,1185.58,334.2743,336.2421,0.0,0.0,45.34,54.5714,4
2024-08-02,Open-Meteo (Clear Lake coords),OM-CL,29.0,38.1,20.2,43.0,307.64,1.361,3.444,117.59,0.0,6.3,25.6714,27.1643,33.9571,1.8531,2.0357,1120.78,329.3143,333.3236,0.0,0.0,44.58,54.0,5
2024-08-03,Open-Meteo (Clear Lake coords),OM-CL,29.5,36.8,23.4,44.0,271.41,1.75,4.167,151.2,0.0,5.98,26.6286,27.35,34.8,1.8531,1.9603,1120.78,320.0057,328.4786,0.0,0.0,44.66,52.1429,5
2024-08-04,Open-Meteo (Clear Lake coords),OM-CL,29.1,36.9,22.1,49.0,330.56,1.639,3.417,141.61,0.0,6.78,27.3143,27.5786,35.5571,1.8134,1.8909,1096.76,319.3614,327.5614,0.0,0.0,45.09,51.4286,5
2024-08-05,Open-Meteo (Clear Lake coords),OM-CL,26.9,36.6,18.0,53.0,333.68,1.944,4.306,167.96,0.0,6.74,27.8,27.35,36.1857,1.7697,1.9146,1070.32,319.1629,327.2393,0.0,0.0,45.43,50.5714,6
2024-08-06,Open-Meteo (Clear Lake coords),OM-CL,28.8,38.8,19.1,49.0,326.62,1.583,3.556,136.77,0.0,6.52,28.4714,27.0857,37.0571,1.6626,1.8928,1005.52,319.18,327.3057,0.0,0.0,45.64,48.7143,7
